Nombre,Dirección,Localidad,Teléfono,Horario,Precio,Página web,Contacto,Correo electrónico,Observaciones,Perfil 1,Perfil 2,Foto
Aula Ambiental Soratama,KR 2 ESTE # 166 A - 42 ARRIO SORATAMA,Usaquén,679 62 85 ,Lunes a Domingos de 8:00 A.M. a 4:30 P.M.,NA,http://ambientebogota.gov.co/web/sda/educacion,Luz Stella Rey Sabogal (Coordinadora de Educación Ambiental),Luz.rey@ambientebogota.gov.co,"Por su ubicación y características particulares el énfasis de esta Aula Ambiental hace referencia al tema de los cerros orientales. A partir de recorridos temáticos y talleres pedagógicos se aborda la historia de conformación del barrio y la cantera, la importancia de los cerros, el reconocimiento y apropiación del territorio, el conocimiento y preservación de la flora y la fauna propia de este ecosistema.

El Aula Ambiental cuenta con un túnel subterráneo ""galería de drenaje"" que atraviesa un segmento del cerro donde se puede conocer las diferentes tipos de suelos, las conformaciones geológicas y los acuíferos subterráneos allí presentes. Cuenta con excelentes miradores que permiten observar gran parte de la ciudad.",Cultural,Mochilero,
Balcón Palacio de San Carlos,CL 10 # 5 -51,Candelaria,NA,NA,NA,NA,NA,NA,Ninguna,Cultural,Ocio,
Barrio Bosque Izquierdo,"ORIENTE KR 5E  OCCIDENTE KR 5 ENTRE SUR 26  Y NORTE AV 26C
",Santa Fe,NA,NA,NA,NA,NA,NA,Ninguna,Mochilero,Ocio,
Barrio de Teusaquillo,ORIENTE KR 14 SUR AC 32 SUR OCCIDENTE AC 28 OCCIDENTE AK 19 NORTE CL 34,Teusaquillo,NA,NA,NA,NA,NA,NA,Ninguna,Mochilero,Ocio,
Barrio La Merced,SUR CL 33 ORIENTE KR 5 NORTE CL 25 Y 36 OCCIDENTE KR 7,Santa Fe,NA,NA,NA,NA,NA,NA,Ninguna,Mochilero,Ocio,
Barrio Pablo VI,ORIENTE AK 50 OCCIDENTE TV 59A SUR AC 53 NORTE AC 63,Teusaquillo,NA,NA,NA,NA,NA,NA,Ninguna,Mochilero,Ocio,
Basílica Menor de Nuestra Señora de Lourdes,Despacho Parroquial: CL 63A # 10 - 09 Templo: KR 13 Calle 63 Esquina,Chapinero,249 70 33 - 249 40 56 ,"Lunes a Viernes 7:00 a.m., 8:00 a.m., 10:30 a.m., 11:30 a.m., 12:30 m., 5:00 p.m., 6:00 p.m., Sábado de peregrinación al Santuario de Lourdes, Domingo 6:30 a.m., 8:00 a.m, 9:30 a.m., 11:00 a.m., 12:30 m., 2:30 p.m., 4:00 p.m., 5:30 p.m., 7:00 p.m. Viernes La Divina Misericordia 3:00 p.m., Día 11 de cada mes Fiesta de La Virgen 6:30 a.m., 8:00 a.m., 9:30 a.m., 11:00 a.m., 12:30 m., 2:30 p.m., 4:00 p.m., 5:30 p.m., 7:00 p.m., Lunes Festivo 7:00 a.m., 8:00 a.m., 9:00 a.m., 11:00 a.m., 12:00 m. Horario Despacho Parroquial: Lunes a Viernes de 8:00 a.m. a 1:00 p.m. y de 2:00 p.m. a 5:00 p.m.",NA,http://basilicalourdes.arquibogota.org.co/es/noticias/category/despacho-parroquial.html,Adriana Bastias - Secretaria,nslourdes@yahoo.com,Ninguna,Religioso,Cultural,
Básilica Menor del Voto Nacional,KR 15 # 10 - 43 Despacho Parroquial KR 15 # 10 - 73,Los Mártires,562 59 14,"Despacho Parroquial de Lunes a Vienes de 9:00 a.m. 11:30 a.m. y de 2:00 p.m. a 4:30 p.m. Eucarísticas: Lunes a Sábado 7:30 a.m. y 12:00 m., Domingo 8:00 a.m., 9:00 a.m., 11:00 a.m., 12:00 m.",NA,NA,Edgar Yazo,psagradocorazondejesus@arquibogota.org.co,Ninguna,Religioso,Cultural,
Basílica Santuario del Señor de Monserrate,"KR 2 ESTE # 21 - 48 PUNTO PARA SUBIR: ESTACIÓN FUNICULAR, TELEFÉRICO O SENDERO",Candelaria,"756 0450 - 756 0455 - 756 0457 Extensión 103-109 Santuario de Monserrate
2845700 - 7470189 Teleferico o Funicular","Santuario Abierto: Lunes de 11:00 a.m. a 5:00 p.m. (o martes cuando el lunes es festivo), Martes a Domingo de 6:00 a.m. a 5:00 p.m.
Misas: Lunes: 12:00 m. Cuando el lunes en festivo el Martes la misa es a las 12:00m.Martes a Viernes: 10:00 a.m. y 12:00 m. Primer viernes de cada mes: 8:00  a.m, 10:00 a.m. y 12:00 m. En Honor a la Virgen Morena de Monserrate Misa Mariana todos los sábados a las 8:00 a.m. Sábado y Festivos: 8:00 a.m, 10:00 a.m, 12:00 m y 2:00 p.m.Domingo: 6:00 a.m, 7:30 a.m, 9:00 am, 10:30 a.m, 12:00 m, 2:00 p.m. y 3:30 p.m.
Funicular: Martes a Viernes de 6:30 a.m. a 11:45 a.m. Domingo de 6:30 a.m. a 6:30 p.m., Festivos de 7:00 a.m. a 6:30 p.m. Servicio de taquilla hasta las 5:30 p.m. Lunes no hay servicio.
Teleferico: Lunes de 6:30 a.m. a 12:00 a.m. (media noche), martes a sábado de 12:00 m. a 12:00 a.m. (media noche). Servicio de taquilla hasta las 10:30 p.m. Domingo de 10:30 a.m. a 4:30 p.m. Lunes festivo no hay servicio
Sendero: Abierto los Lunes, Miércoles, Jueves, Viernes, Sábado y Domingo de 5:00 a.m. a 1:00 p.m. para subir. Y de 5:00 a.m. a 4:00 p.m. para bajar. Martes cerrado por mantenimiento.",NA,http://www.santuariomonserrate.org/,Tatiana Prieto Rojas - Secretaria,"secretaria@santuariomonserrate.org, contacto@santuariomonserrate.org",Se ubica en el Santuario la Ermita de Nuestra Señora de la Cruz de Monserrate,Religioso,Cultural,
Biblioteca del Congreso - Sede Luis Carlos Galán Sarmiento,KR 6 # 8 - 94,Candelaria,382 44 50,Lunes a Viernes 8:00A.M. a 12:30P.M. y 2:00P.M. a 5:00P.M.,NA,http://www.senado.gov.co/,Karolina Ruíz,biblioteca@senado.gov.co,Ninguna,Cultural,Ocio,
Biblioteca El Tintal Manuel Zapata Olivella,AV CIUDAD DE CALI # 6C - 09,Kennedy,379 35 50 Extensión 1000,Lunes de 2:00 P.M. a 8:00 P.M.; Martes a Sábado de 8:00 A.M. a 8:00 P.M.; Domingos de 9:30 A.M. a 5:30 P.M.,NA,www.blibiored.com.co,Camilo Zuleta - Asistente administrativo,direccion_tt@biblored.gov.co,Ninguna,Cultural,Ocio,
Biblioteca Luis Ángel Arango,CL 11 # 4 - 14,Candelaria,343 12 24,"Salas de Lectura Lunes a Sábado de 8:00 A.M. a 8:00 P.M., Domingo de 8:00 A.M. a 4:00 P.M. No hay servicio los días festivos. 
Visita temática y especializada: Lunes, martes, jueves y viernes 9:00 A.M. y 2:30 P.M.
 Visita de acercA.M.iento a la lectura: Miércoles 9:00 A.M. y 2:30 P.M.
 Visita en fA.M.ilia: Primer y tercer domingo de cada mes 10:30 A.M. (no requiere solicitud previa) Lugar: punto de información
 Visita turística: Todos los días (no requiere solicitud previa) Lugar: punto de información",NA,www.banrepcultural.org.co,Erika Alexandra Zambrano,w.biblio@bamred.com.co,La correspondencia dirigida a la Biblioteca Luis Ángel Arango será recibida en esta dirección KR 5 # 11 - 68.,Cultural,Mochilero,
Biblioteca Nacional de Colombia,CL 24 # 5 - 60,Santa Fe,381 64 64,Lunes a Viernes de 8:00 A.M. a 6:00 P.M.; Sábado de 9:00 A.M. a 4:00 P.M. Se permite el ingreso hasta treinta minutos antes del cierre,NA,www.bibliotecanacional.gov.co,Patricia Rodríguez (coordinadora),Proodriguez@bibliotacanacional.gov.co,Ninguna,Cultural,Mochilero,
Biblioteca Pública Gabriel García Márquez ,CL 48B SUR # 21 - 13,Tunjuelito,379 00 00 Extensión 2000  - 379 00 29 Extensión 2400,"Lunes 2:00P.M. A 8:00P.M., Martes a Sábado de 8:00A.M. A 8:00P.M. Domingos de 9:30A.M. A 5:30P.M. Festivos no hay servicio",NA,http://www.biblored.gov.co/biblioteca-gabriel-garcia-marquez,Yuri Tavera - Secretaria,direccion_tn@biblored.gov.co,El horario de los servicios afiliados y préstamo de materiales bibliográfico finaliza un cuarto de hora antes del cierre de la biblioteca.,Cultural,Ocio,
Biblioteca Virgilio Barco,AK60 # 57 - 60,Teusaquillo,3793520 Extensión 3000 ,"Lunes de 2:00 P.M. a 7:45 P.M., Martes a Sábado 8:00A.M. A 7:45P.M., Domingo de 9:30 A.M. a 5:30 P.M.
Visitas guiadas: 
Publico Infantil: martes a sábado 8:00A.M.-9:30A.M.-11:00A.M.-2:00P.M.-3:30P.M.-5:00P.M. 
Publico Jóvenes y Adultos Mayores: Miércoles y Jueves mismas horario
",NA,http://www.biblored.gov.co/biblioteca-virgilio,Tatiana López,NA,Ninguna,Cultural,Mochilero,
Calle 10 entre Carrera 3 y 9,CL 10 KR 3 y 9,Candelaria,NA,NA,NA,NA,NA,NA,Ninguna,Mochilero,Cultural,
Calle 72 entre Carreras 14 y 5,CL 72 KR 14 y 5,Chapinero,NA,NA,NA,NA,NA,NA,Ninguna,Mochilero,Cultural,
Calle de Los Anticuarios,"CL 79B KR 7 y 9
",Chapinero,NA,NA,NA,NA,NA,NA,Ninguna,Mochilero,Cultural,
Calle del Camarín del Carmen,"CL 9 KR 4 y KR 5
",Candelaria,NA,NA,NA,NA,NA,NA,Vía Peatonal,Mochilero,Cultural,
Calle del Embudo,"PLAZA DEL CHORRO DE QUEVEDO Y CL 14 
",Candelaria,NA,NA,NA,NA,NA,NA,Vía Peatonal,Mochilero,Cultural,
Capilla de Los Santos Apóstoles del Gimnasio Moderno,"KR 9 # 74 - 99 - KR 11 # 74 - 64, dentro de las instalaciones del Gimnasio Moderno.",Chapinero,540 18 88 Extensión 104,"Atención despacho: Lunes a Viernes de 7:00 a.m. a 4:00 p.m. El ingreso a la capilla es solamente para los funcioanrios del colegio, estudiantes, padres de familia y recomendados. Celebración misas dominicales 12:00 m. y 7:00 p.m.",NA,https://gimnasiomoderno.edu.co/servicios/capilla/,Ana María Uribe - Directora,fundacionemilio@gimnasiomoderno.edu.co,Ninguna,Religioso,Cultural,
Capilla del Sagrario,AK 7 # 10 - 40,Candelaria,341 19 54,"Abierta de Lunes a Viernes de 7:00 a.m. a 6:00 p.m., Eucaristías: Lunes a Viernes 7:15 a.m. y 5:15 p.m., Domingo 5:00 p.m.
Viernes de Sagrario de 6:00 p.m. a 7:00 p.m. Adoración Eucarística.",NA,http://catedral.arquibogota.org.co/es/,Monseñor Álvaro Tiberio Vidales Bedoya,NR,Ninguna,Religioso,Cultural,
Capilla La Bordadita,Calle 12 No 6 - 25 UNIVERSIDAD DEL ROSARIO,Candelaria,2970200 Extensión 3247,"Abierta de Lunes a Viernes de 7:00 a.m. a 3:00 p.m. (Ingreso por la Universidad), Horario de Eucaristía: Miércoles, Jueves y Viernes a las 12.00 m.",NA,http://www.urosario.edu.co/Home/la-universidad/La-Bordadita/,Rosa Parra,rosa.parra@urosario.edu.co,Ninguna,Religioso,Cultural,
Capilla San Miguel del Principe,Esquina calle 12B con Carrera 2,Candelaria,NR,NR,NA,NR,NR,NR,Ninguna,Religioso,Ocio,
Capilla Santa María de Los Ángeles - Parroquia Santa Mónica,Despacho Parroquial: CL 79B # 7 - 52 Capilla: CL 79B # 7 - 15,Chapinero,317 74 22 - 248 82 23 - 321 451 18 09,"Horario Despacho: Lunes a Viernes de 8:00 a.m. a 1:00 p.m. y de 2:00 p.m. a 5:00 p.m., Sábado 9:00 a.m. a 1:00 p.m. Horario de Misas: Lunes a Viernes 7:00 a.m., 7:30 a.m., 12:00 m, 6:00 p.m., Sábado 7:00 a.m., 7:30 a.m., 12:00 m., 6:00 p.m., Domingo 7:00 a.m., 8:00 a.m., 10:00 a.m., 12:00 m., 6:00 p.m., 7:00 p.m.",NA,http://psantamonica.arquibogota.org.co/es/acerca-de-nosotros-9,NR,NR,Ninguna,Religioso,Ocio,
Capitolio Nacional  - Sede del Congreso de la República,CL 10 # 7 - 51,Candelaria,382 30 00,Horario administrativo: Lunes a Viernes de 8:00A.M. a 5:00P.M.,NA,www.senado.gov.co,Ligia Gómez,atencionciudadanacongreso@senado.gov.co,Unidad de Correspondencia Senado de la República: Carrera 7 No. 8-68 Primer piso. Unidad de Atención Ciudadana del Congreso: Calle 11 No. 5-60 Tercer Nivel,Cultural,Ocio,
Carrera Séptima entre Calles 7 y 14,KR 7 Cl 7 y 14,Candelaria,NA,NA,NA,NA,NA,NA,Vía Peatonal,Mochilero,Ocio,
Casa Calle 12 # 2 - 12,CL 12 # 2 - 12,Candelaria,NA,NA,NA,NA,NA,NA,"Casa del Doctor Eduardo Mendoza Varela, Calle de San Miguel del Príncipe",Cultural,Mochilero,
Casa Calle 12 # 2 - 22,CL 12 # 2 - 22,Candelaria,NA,NA,NA,NA,NA,NA,Ninguna,Cultural,Mochilero,
Casa Cantillo O`Leary,KR 9 # 8 - 53/55/59,Candelaria,NA,NA,NA,NA,NA,NA,Ninguna,Cultural,Mochilero,
Casa Carrera 4 # 10 - 84,KR 4 # 10 - 84,Candelaria,NA,NA,NA,NA,NA,NA,"Casa de Rosa Florido, Calle de la Rosa",Cultural,Mochilero,
Casa Carrera 4 # 11 - 94,KR 4 # 11 - 94,Candelaria,NA,NA,NA,NA,NA,NA,Ninguna,Cultural,Mochilero,
Casa Carrera 4 # 9 - 12,KR 4 # 9 - 12,Candelaria,NA,NA,NA,NA,NA,NA,Ninguna,Cultural,Mochilero,
Casa Carrera 4 # 9 - 46,KR 4 # 9 - 46,Candelaria,NA,NA,NA,NA,NA,NA,Ninguna,Cultural,Mochilero,
Casa Carrera 5 # 9 - 48,KR 5 # 9 - 48,Candelaria,NA,NA,NA,NA,NA,NA,Ninguna,Cultural,Mochilero,
Casa Carrera 9 # 9 - 29/35,KR 9 # 9 - 29/35,Candelaria,NA,NA,NA,NA,NA,NA,Ninguna,Cultural,Mochilero,
Casa Cural de Fontibón,KR 98  # 17A - 81,Fontibón,418 10 36 - 421 75 57,Lunes a Viernes de 9:00 A.M. a 1:00 P.M.,NA,www.diocesisdefontibon.com,Carolina Sánchez - Secretaria,Socialdiocesisdefontibon@gmail.com; contactenos@diocesisdefontibon.com; secretaria@diocesisdefontibon.com,Ninguna,Religioso,Mochilero,
Casa Cural de La Catedral,KR 6 # 10 - 61 Dirección del Despacho Parroquial,Candelaria,341 19 54,"No aplica (Actualmente la Casa Cural se ubica en la parte interna del Despacho Parroquial se accede a él por el Despacho, pero no se permite ingreso a visitantes",NA,NA,Monseñor Álvaro Tiberio Vidales Bedoya,NR,Ninguna,Religioso,Mochilero,
Casa de Don José Caicedo Rojas,CL 12B # 5 - 33,Candelaria,NA,NA,NA,NA,NA,NA,"Cambio de nomenclatura, original (CL 13), Casa de José Caicedo Rojas, en la que sesionó la Academia Colombiana, ubicada en la calle de la conquista",Cultural,Ocio,
Casa de Hacienda Santa Bárbara - Centro Comercial Hacienda Santa Bárbara,KR 7 # 115 - 72,Usaquén,612 03 88,"Lunes a Domingo de 5:00 A.M. a 10:00 P.M., varía según horario de los establecimientos comerciales",NA,NA,NR,mercadeo@haciendasantabarbara.com.co,Ninguna,Ocio,Mochilero,
Casa de la Alcaldía de Usaquén,KR 6A # 118 - 03,Usaquén,619 50 58,Lunes a Viernes de 7:00 A.M. a 4:30 P.M. (Administrativos ) Sábados 7:00 A.M. a 12: 00 P.M. ( Oficina Atención al Cliente),NA,http://www.usaquen.gov.co/,Angélica Estupiñan ( Referente de Calidad),NR,Ninguna,Ocio,Negocio,
Casa de La Cultura Julio E. Lleras,KR 6 CL 7 ESQUINA,Candelaria,NR ,NR ,NR ,NR ,NR ,NR ,NR,Cultural,Ocio,
Casa de la Fundación Gilberto Álzate Avendaño,CL 10 # 3 - 16,Candelaria,432 04 10,Horario de atención de lunes a viernes de 9:00 A.M. a 5:00 P.M.,NA,http://www.fgaa.gov.co/,Atención al ciudadano: Alfonso Uribe,atencionalciudadano@fuga.gov.co,En acondicionamiento para accesibilidad personas en condiciones de discapacidad,Cultural,Ocio,
Casa de la moneda del Banco de la República,CL 11 # 4 - 93,Candelaria,3431111 Extensión 1331,"Lunes a sábado: 9:00 A.M. a 7:00 P.M. Último ingreso a las 6:30 P.M., Martes cerrado, Domingos y festivos: 10:00 A.M. a 5:00 P.M. Último ingreso a las 4:30 P.M.
Visitas gratuitas para el público general: Lunes a Viernes: 12:30 a 1:30 P.M.  o  4:00 a 5:00 P.M. y  5:30 a 6:30 P.M. (excepto los martes que el museo se encuentra cerrado). Sábados: 10:00 A.M. 12:00 m., 2:00 P.M., 4:00 P.M., Domingos 10:00 A.M. y  1:30 P.M.",NA,www.banrepcultural.org.co,Karen Rincón,exposiciones@banrep.gov.co,"Visitas para grupos escolares y universitarios: reservar mínimo con quince (15) días de anticipación 
únicamente en el teléfono 3431221 - 34311 11 Ext. 1997  o en el correo electrónico servieducativosblaa@banrep.gov.co",Cultural,Ocio,
Casa de La Opera (Actual sede de la Dirección de Comunicaciones del Ministerio de Cultura),CL 11 # 5 - 16,Candelaria,350 65 46,Horario administrativo: Lunes a Viernes de 8:00 A.M. a 5:00 P.M.,NA,NA,"Argemiro Cortez: Director de comunicaciones, Martha Gonzales : Secretaria de dirección. ",dircomunicaciones@mincultura.gov.co,Solo funciona como oficina,Ocio,Cultural,
"Casa de Los Comuneros (Actual sede de la Secretaria, Recreación y Deporte)",KR 8 # 9 - 83,Candelaria,327 48 50,Horario administrativo: Lunes a Viernes de 7:00 A.M. a 4:30 P.M. ,NA,http://www.culturarecreacionydeporte.gov.co/,NA,NA,Ninguna,Cultural,Ocio,
Casa de Poesía Silva,CL 12C # 3 - 41,Candelaria,286 57 10 - 286 44 14,Lunes a Ciernes 9:00A.M. A 1:00P.M. y 2:00P.M.-6:00P.M.,NA,http://casadepoesiasilva.com/,NR,casadepoesiasilva@casadepoesiasilva.com,Ninguna,Cultural,Ocio,
Casa del Buen Ciudadano Francisco de Paula Pérez,KR 9A # 62 - 22,Chapinero,NR,NR,NR,NR,NR,NR,NR,Cultural,Ocio,
Casa del Cabildo Eclesiastico - casa Capitular,AK 7 # 10 - 56,Candelaria,702 84 16,"No Aplica
Previsto apertura de la Bóveda del Tesoro (actualmente en restauración), únicamente se realizarán visitas especiales. El archivo Capitular - Musical se ingresa únicamente a través de una solicitud y es exclusivo para investigadores",NA,NA,Monseñor Juan Miguel Huertas.,juanmiguelhuertase@hotmail.com,Ninguna,Religioso,Cultural,
Casa del General Pedro Alcántara Herrán,CL 11 # 5 - 51,Candelaria,NA,NA,NA,NA,NA,NA,Se encuentra en remodelación,Cultural,Ocio,
Casa del Maestro Jorge Luis Linares,KR 1 # 12 - 35,candelaria,NR,NR,NR,NR,NR,NR,Ninguna,Cultural,Ocio,
Casa del Pueblo - (Actual sede Casa de la Cultura Font ibón Cacique Hyntiba),CL 17A # 99 - 53,Fontibón,298 59 90 - 422 09 11,"Lunes a Viernes de 8:00 A.M. a 6:00 P.M., Sábado de 8:30 A.M. a 1:00 P.M.",NA,NR,María Fernanda Contreras - Administrativa,casaculturafontibon@hotmail.com,"Es un espacio de encuentro de articulación de procesos sociales y culturales que posibilitan la inclusión de nuestra población con el fin de diseñar las políticas, posibilitar los derechos, dar acceso al arte, desarrollar actividades de formación y capacitación en las diferentes áreas artísticas y culturales, apoyando la creatividad para fomentar el intercambio cultural.",Cultural,Ocio,
Casa Delia Zapata (Actual  Fundación Instituto Folclórico Colombiano Delia Zapata Olivella),CL 10 # 2 - 43,Candelaria,2810375 - 3132035525,"Lunes, Miércoles y Viernes de 7:00 A.M. a 9:00 A.M. ",NA,NR,Edelmira Massa - Representante Legal,elpalenquededeliazapata@gmail.com,Ubicada en la calle de la toma de agua,Cultural,Mochilero,
Casa Fundación  Rafael Pombo,CL 10 # 5 - 22,Candelaria,NR,"Lunes a Viernes de 8:00 A.M. a 12:30 m y de 1:30 P.M. a 5:00 P.M., Sábado de 9:00 A.M. a 1:00 P.M. Último domingo de cada mes de 10:00 A.M. a 2:00 P.M.",NA,http://www.fundacionrafaelpombo.org/2012/index.php/es/,NR,informacion@fundacionrafaelpombo.org,Ninguna,Cultural,Mochilero,
Casa Gómez Campuzano  - Biblioteca Luis Ángel Arango (Casa Museo),CL 80 # 8 - 66,Chapinero,210 08 16 - 322 00 18,Lunes a sábado de 8:00 A.M. - 8:00 P.M. Cerrado domingos y festivos,NA,http://www.banrepcultural.org/casa-gomez-campuzano/index.php,Maritza Becerra - Auxiliar administrativa,casagomezcampuzano@banrep.gov.co,Declarada Bien de Interés Cultural del Distrito mediante el Decreto 606 del 26 de julio de 2001,Cultural,Negocio,
Casa Gregorio Vásquez de Arce y Ceballos,KR 4 # 10 - 98,Candelaria,NA,NA,NA,NA,NA,NA,Ninguna,Cultural,Mochilero,
Casa Museo Francisco José de Caldas,KR 8 # 6C - 73,Candelaria,289 62 75,"Lunes a Viernes de 09:00 A.M. a 4:00 P.M. , Sábados y Domingos de 10:00 A.M. a 3:00 P.M. , Festivo no se abre. ",NA,NR,Iván Felipe Zuares: Director,museocaldasbogota@gmail.com,Ninguna,Cultural,Ocio,
Casa Museo Jorge Eliécer Gaitán,CL 42 # 15 - 52,Teusaquillo,342 23 40 Extensión 29985,"Martes a viernes  de 10:00 A.M. a 2:00 P.M. Para visitas grupales e institucionales
solicitar reserva a casagaitan@unal.edu.co.Sábados y domingos visitas particulares en dos recorridos a las 10:00 A.M. y a las 2:00 P.M.",NA,www.patrimoniocultural.unal.edu.co,Alejandro Burgos Bernal - Jefe División de Museos de la Universidad Nacional de Colombia ,casagaitan@unal.edu.co,Ninguna,Cultural,Mochilero,
